Date,Open,High,Low,Close,Volume
03/13/2018,174.8,175.21,171.2666,171.71,54338070
03/14/2018,172.58,172.74,170.93,171.68,40426260
03/15/2018,171.83,172.53,170.9,171.53,28755610
03/16/2018,171.78,172.2,170.935,171.02,30710620
03/19/2018,169.16,169.22,165.6393,167.1,70683890
03/20/2018,167.1,168.04,166.61,167.65,34009060
03/21/2018,167.23,168.76,166.19,166.92,43801150
03/22/2018,164.7,165.77,162.59,162.8,65933570
03/23/2018,162.6,163.3,158.43,158.51,78830190
03/26/2018,161.68,164.6,159.16,164.4,57382220
03/27/2018,165.6,165.62,157.68,159.08,77048110
03/28/2018,158.25,159.78,156.04,157.25,88348850
03/29/2018,158.13,161.71,156.6338,160.13,68624710
04/02/2018,159,159.74,153.88,155.51,85317660
04/03/2018,156.92,157.92,154.44,157.26,63936220
04/04/2018,154.27,160.23,154.04,159.74,65353850
04/05/2018,161.33,161.58,159.48,160.65,43028990
04/06/2018,158.94,160.4601,155.88,156.63,59848320
04/09/2018,158.01,160.88,157.46,157.73,41607510
04/10/2018,160.13,161.73,159.07,161.21,48498910
04/11/2018,160.2,162,160.1,160.28,41535620
04/12/2018,161.3,162.77,161.16,162.21,29929320
